title,cast,release_year,plot
Places in the Heart,"
Sally Field
Lindsay Crouse
Ed Harris
Amy Madigan
John Malkovich
Danny Glover
","
September 21, 1984 (1984-09-21)
","NAIt is 1935 and Waxahachie, Texas, is a small, segregated town in the midst of the Great Depression. One afternoon the local sheriff, Royce Spalding, goes to investigate trouble at the rail yards. He dies after being accidentally shot by a young black boy, Wylie. Local white vigilantes tie Wylie to a truck and drag his body through town before hanging him from a tree.
The sheriff's widow, Edna Spalding, is left to raise her children alone and maintain the family farm. The bank has a note on the farm, and the price for cotton is plummeting. The local banker, Albert Denby, suggests that she sell the farm as he doesn't see how she can afford to make the loan payments.
A drifter and handyman, a black man by the name of Moses Hadner - ""Moze"" - appears at her door one night, asking for work. He offers to plant cotton on all her acres and cites his experience. Edna declines to hire him but offers him a meal and sends him on his way. The next morning, she sees him voluntarily chopping wood in her yard. She offers to make him breakfast on the condition that he leaves. Moze steals some of her silver spoons and leaves. When the police capture Moze with her stolen silver and bring him back to confirm the theft, Edna says she had hired him.
The next day, Edna visits Mr. Denby to relay her decision not to sell the farm. He unloads his blind brother-in-law, Will, on Edna, compelling her to take him in as a paid lodger. Will is slow to warm up to her children, but they eventually become close and he rescues her daughter Possum during a tornado. Moze helps Edna's son Frank find his way home during the tornado.
Edna realizes she cannot make the next payment even if she sells all her cotton. The bank declines Edna's request for relief, but she learns of an Ellis County contest: a $100 cash prize to the farmer who produces the first bale of cotton for market each season. Edna realizes the prize money plus the proceeds from the sale of her cotton would be enough to allow her to keep the farm. Edna knows she will need more pickers, and Moze agrees to help her find the help so they can harvest the cotton on time.
Their efforts pay off as Edna and Moze find themselves first in line at the wholesaler with the season's first bale of cotton. Moze carefully coaches Edna on how to negotiate with the buyer, and as a result he is unable to cheat her. That night, Moze is accosted by Ku Klux Klan members and savagely beaten. Will, who recognizes all the assailants' voices as local white men, confronts and identifies them one by one; they all run off. Moze realizes he will have to leave the farm because of possible future attacks.
The story ends with the community in prayer. Communion is passed among the assembled congregants at the church, hand to hand and mouth to mouth, between both the living and the deceased. The last line of the film is spoken by Wylie to Royce Spalding, ""Peace of God"". The film closes with all the characters gathered in church singing in unison.
"
Coal Miner's Daughter,Sissy SpacekTommy Lee JonesBeverly D'AngeloLevon Helm,"
March 7, 1980 (1980-03-07)
","NAIn 1945, 13-year-old Loretta Webb is one of eight children of Ted Webb, a Van Lear coal miner raising a family with his wife in the midst of grinding poverty in Butcher Hollow, Kentucky (pronounced by locals as ""Butcher Holler"").
In 1948, at the age of 15, Loretta marries 22-year-old Oliver ""Mooney"" (aka Doo, short for Doolittle) Lynn, becoming a mother of four by the time she is 19. The family moves to northern Washington State, where Doo works in the forest industry and Loretta sings occasionally at local honky-tonks on weekends. After some time, Loretta makes an occasional appearance on local radio.
By the time Loretta turns 25, Norm Burley, the owner of Zero Records, a small Canadian record label, hears Loretta sing during one of her early radio appearances. Burley gives the couple the money needed to travel to Los Angeles to cut a demo tape from which her first single, ""I'm a Honky Tonk Girl,"" is made. After returning home from the sessions, Doo suggests he and Loretta go on a promotional tour to push the record. Doo shoots his own publicity photo for Loretta, and spends many late nights writing letters to show promoters and to radio disc jockeys all over the South. After Loretta receives an emergency phone call from her mother telling her that her father had died, she and Doo hit the road with records, photos, and their children. The two embark on an extensive promotional tour of radio stations across the South.
En route, and unbeknownst to the couple, Loretta's first single, ""I'm a Honky Tonk Girl,"" hits the charts based on radio and jukebox plays, and earns her a spot on the Grand Ole Opry. In the summer of 1961, after 17 straight weekly performances on the Opry, she is invited to sing at Ernest Tubb Record Shop's Midnite Jamboree after her performance that night. Country superstar Patsy Cline, one of Loretta's idols, who had recently been hospitalized from a near-fatal car wreck, inspires Loretta to dedicate Patsy's newest hit ""I Fall to Pieces"" to the singer herself as a musical get-well card. Cline listens to the broadcast that night from her hospital room and sends her husband Charlie Dick to Ernest Tubb Record Shop to fetch Loretta so the two can meet. A close friendship with Cline follows, which abruptly was ended by Cline's death in a plane crash on March 5, 1963.
The next few years are a whirlwind.  The stress of extensive touring, keeping up her image, overwork, and trying to keep her marriage and family together cause Loretta a nervous breakdown, which she suffers onstage at the beginning of a concert. After a year off at her ranch in Hurricane Mills, Tennessee, Loretta goes back on the road, returning to establish herself as the ""First Lady of Country Music.""
The film closes with Loretta recounting the story of her life through her 1970 hit song ""Coal Miner's Daughter"" to a sold-out audience.
"
The Crying Game,"
Stephen Rea
Miranda Richardson
Jaye Davidson
Forest Whitaker
","
2 September 1992 (1992-09-02) (Venice)
30 October 1992 (1992-10-30) (U.K.)
19 June 1993 (1993-06-19) (Japan)
","NAAt a fairground in rural Northern Ireland, a Provisional IRA volunteer named Fergus and a unit of other IRA members, led by a man named Maguire, kidnap a black British soldier named Jody after a female member of their unit, Jude, lures Jody to a secluded area with the promise of sex. They ransom Jody for the release of an imprisoned IRA member, threatening to kill him in three days if their demands are not met. While Fergus stands guard over Jody, the two bond, much to the chagrin of the other group members. Jody tells Fergus the fable of the Scorpion and the Frog.
Jody gets Fergus to promise to seek out Jody's girlfriend Dil in London should Jody be killed. The deadline set by Jody's captors passes with their demands unmet, and Fergus is ordered to take Jody into the woods to kill him. When Jody tries to escape, Fergus pursues him but cannot bring himself to shoot the fleeing man in the back. However, Jody is accidentally run over and killed by a British armoured personnel carrier as it moves in to attack the IRA safehouse. With his companions seemingly killed in the attack, Fergus flees to London, where he takes a job as a day labourer using the alias ""Jimmy"". 
A few months later, Fergus finds Dil, working as a stylist at a hair salon. Later, they talk in a bar, where Dil is tormented by a drunken customer, and Fergus follows the pair, who return to Dil's apartment for sex. Fergus, consumed by guilt over Jody's death, pursues Dil, protecting her from her obsessive suitor, and soon begins falling in love with her. Their relationship progresses, but when the two prepare to become intimate in Dil's apartment, Dil removes her clothes and reveals that she is transgender. Fergus's initial reaction is of revulsion; he rushes to the bathroom to vomit after hitting Dil in the face, and then leaves her apartment. A few days later, Fergus leaves Dil a note in her mailbox apologizing and the two make up; despite Fergus's initial shock at Dil being transgender, he is still taken by her. Around the same time, Jude unexpectedly reappears and tells Fergus that the IRA has tried and convicted him of treason in absentia. She forces him to agree to help assassinate a British judge, and mentions that she knows about Fergus and Dil, warning him that the IRA will kill Dil if he does not cooperate.
Fergus continues to woo Dil. To shield her from possible retribution, he cuts her hair short and dresses her in Jody's old cricket uniform as a disguise. The night before the IRA mission is to be carried out, Dil gets drunk and Fergus escorts her to her apartment, where she asks him to never leave her again. Fergus stays with her, and admits his role in Jody's death. Dil, drunk, appears not to understand; however, in the morning, before Fergus wakes up, Dil restrains him by tying his arms and legs to the bed with stockings, leaving Fergus unable to complete the assassination. Holding Fergus at gunpoint with his own pistol, Dil demands that he tell her that he loves her and will never leave her; he complies, and she unties him.
Jude and Maguire shoot the judge, but Maguire is shot and killed in turn by an armed bodyguard. The vengeful Jude enters Dil's flat with a gun, seeking to kill Fergus for not taking part in the assassination. Dil shoots Jude repeatedly, telling her she is aware that Jude was complicit in Jody's death and used her sexuality to trick him. Dil finally kills Jude with a shot to the neck. She then points the gun at Fergus, but lowers it, saying that she cannot kill him because Jody will not allow her to. Fergus prevents Dil from shooting herself and tells her to go into hiding. He wipes her fingerprints off the gun, replaces them with his own, and allows himself to be arrested in her place. A few months later, Dil goes to visit Fergus in prison and asks why he took the fall for her. He responds, ""As a man once said, it's in my nature,"" and tells her the story of the Scorpion and the Frog that he heard from Jody.
"
Hope and Glory,"
Sarah Miles
David Hayman
Derrick O'Connor
Susan Wooldridge
Sammi Davis
Ian Bannen
Sebastian Rice-Edwards
",16 October 1987 13 November 1987 19 February 1988 ,"NABeginning just before the start of the Second World War, the film tells the story of the Rowan family: Billy, his sisters Sue and Dawn, and his parents Grace and Clive, living in a suburb of London. After the war starts, Clive joins the army, leaving Grace alone to watch over the children. She almost sends Billy and Susie away from London, but pulls them back at the last second on the train platform when she realizes she cannot bear to be apart from them. Thus Billy stays in London for the rest of the war.
Seen through the eyes of 10-year-old Billy, the ""fireworks"" provided by the Blitz every night are as exciting as they are terrifying. His family does not see things in quite the same way as the bombs continue to drop, but their will to survive brings them closer together. The nightly raids do not provide the only drama, however, as his older sister, Dawn, falls for a Canadian soldier, becomes pregnant and, finding her life turned upside down, soon discovers the value of her family. The family eventually moves to the Thames-side home of Grace's parents when their house burns down (not in an air raid, but in an ordinary fire). This provides an opportunity for Billy to spend more time with his curmudgeonly grandfather.
"
Reds,"
Warren Beatty
Diane Keaton
Edward Herrmann
Jerzy Kosinski
Jack Nicholson
Paul Sorvino
Maureen Stapleton
","
December 4, 1981 (1981-12-04)
","NAIn 1915, married socialite Louise Bryant encounters the radical journalist John Reed for the first time at a lecture in Portland, Oregon, and is intrigued with his idealism. After meeting him for an interview on international politics that lasts an entire night, she realizes that writing has been her only escape from her frustrated high-society existence. Inspired to leave her husband, Bryant joins Reed in Greenwich Village, New York City, and becomes acquainted with the local community of activists and artists, including anarchist and author Emma Goldman and the playwright Eugene O'Neill. Later, they move to Provincetown, Massachusetts, to concentrate on their writing, becoming involved in the local theatre scene. Through her writing, Bryant becomes a feminist and radical in her own right. Reed becomes involved in labor strikes with the ""Reds"" of the Communist Labor Party of America. Obsessed with changing the world, he grows restless and heads for St. Louis to cover the 1916 Democratic Convention.
During Reed's absence, Bryant falls into a complicated affair with O'Neill. Upon his return, Reed discovers the affair and realizes he still loves Bryant. The two marry secretly and make a home together in Croton-on-Hudson, north of New York City, but still have conflicting desires. When Reed admits his own infidelities, Bryant takes a ship to Europe to work as a war correspondent. After a flare-up of a kidney disorder, Reed is warned to avoid excessive travel or stress, but he decides to take the same path. Reunited as professionals, the two find their passion rekindled as they are swept up in the fall of Russia's Czarist regime and the events of the 1917 Revolution.
The second part of the film takes place shortly after the publication of Ten Days that Shook the World. Inspired by the idealism of the Revolution, Reed attempts to bring the spirit of Communism to the United States, because he is disillusioned with the policies imposed upon Communist Russia by Grigory Zinoviev and the Bolsheviks. While attempting to leave Europe, he is briefly imprisoned and interrogated in Finland. He returns to Russia and is reunited with Bryant at the railway station in Moscow. By this point, Reed is growing progressively weaker as a result of spotted typhus. Bryant helps nurse the ailing Reed, who eventually dies.
"
One Hour with You,Maurice ChevalierJeanette MacDonaldGenevieve Tobin,"
March 22, 1932 (1932-03-22) (US)
","NAParisian doctor Andre Bertier (Maurice Chevalier) is faithful to his loving wife, Colette (Jeanette MacDonald), much to the surprise of his lovely female patients. But when Colette's best friend Mitzi Olivier (Genevieve Tobin) insists upon being treated by Dr. Bertier, it looks to many of those concerned that Mitzi may succeed where the other willing ladies failed.[3]
"
An Education,"
Carey Mulligan
Peter Sarsgaard
Alfred Molina
Rosamund Pike
Dominic Cooper
Olivia Williams
Emma Thompson
","
18 January 2009 (2009-01-18) (Sundance)
30 October 2009 (2009-10-30) (United Kingdom)
5 February 2010 (2010-02-05) (United States)
","NAIn 1961 London, Jenny Mellor is a bright and beautiful 16-year-old schoolgirl who wishes to attend Oxford University. Her studies are controlled by her strict, overbearing father, Jack. After youth orchestra rehearsals, Jenny waits at a bus stop on the street under the rain when she meets David Goldman, a seductive older man driving a Bristol 405. Telling her that he is a music lover and that he is worried about her cello getting wet, David convinces Jenny to put her cello in his car while she walks alongside. As the rain becomes stronger, Jenny asks David if she can sit inside his car. The two continue talking about music and, before being dropped off, Jenny confesses that she will be able to do whatever she wants when she reaches university, such as going to art galleries and watching French films, wishing for a life of culture and luxury. The next day, David leaves flowers on Jenny's front porch, wishing her luck at her youth orchestra's concert. Later, she sees him outside the cafe she and her friends were in and approaches him. After a little small talk, David then asks Jenny if she is free to go see a concert and have supper with him and his friends. She happily agrees and thanks him.
On the night of the concert, Jack disapproves of Jenny going while her much more lenient mother, Marjorie, tells him otherwise. David comes by to pick Jenny up and to talk to her parents, where he easily charms his way into convincing Jack that he take Jenny home later than her intended curfew. They arrive at the concert where Jenny meets David's friends, Danny and Helen. Afterward, they go to dinner at a fancy restaurant, where they invite Jenny to an art auction. David picks up Jenny at school and goes to the auction, winning a bid for a painting by Edward Burne-Jones and going to Danny's place afterwards. They talk about Oxford and they all agree to go and visit together the following weekend.
Jenny hears a commotion late one night and sees David drinking with her parents. He then uses the opportunity to ask them if he can take Jenny to Oxford, saying that he used to study there and would like to visit his old teacher, Clive Lewis, the author of The Chronicles of Narnia. Her parents are reluctant at first, but agree, seeing it as a good opportunity. At Oxford, Jenny discovers that David is a con man who makes money through a variety of shady practices. She is initially shocked but silences her misgivings as she succumbs to David's charm. Back at her home, Jenny and David have their first kiss. Jenny then shows a signed copy of The Lion, the Witch and the Wardrobe to her parents, which David actually signed. Impressed by his connections and charisma, Jack and Marjorie approve of their romantic relationship.
On the night of Jenny's 17th birthday, David arrives with presents and tells her parents that he intends to take her to Paris as a special birthday gift. Her father angrily disapproves, but later agrees after David talks to him. In Paris, the two dance, take photos, and Jenny eventually loses her virginity to David. Back in London, Jenny gives her favourite teacher, Miss Stubbs, Chanel perfume as a gift from her trip. However, Miss Stubbs refuses the gift, telling Jenny that she knows where it came from and is both concerned and disapproving of her relationship with David. They argue and have a falling-out. Later that night, David proposes marriage. Jenny accepts the proposal and, after an argument with the headmistress, decides to drop out of school and not apply to university.
While getting petrol on their way to dinner with her parents, Jenny rummages through the car's glove compartment for a cigarette and discovers, through letters, that David is already married. Shocked, Jenny tells David to take her and her parents back home. Jenny argues with David, telling him she gave up her education to be with him. David says he will get a divorce and agrees that he will go and tell her parents the truth with her. She then goes inside her house, her father asking what happened. Jenny tells her parents that David is mustering up the courage before going inside to confront them. However, he drives off and is never seen again.
Jenny despairs, blaming Danny and Helen for not telling her the truth early on and blaming her parents for letting her throw her life away with an older man. Jenny confronts David's wife, and learns that David has a son and is a serial adulteror. Later that night, Jack apologizes to Jenny, admitting that he messed up and that he believed David could give her the life she wanted. Jack points out that although David wasn't who he said he was, Jenny had also deceived her parents about David's nature by playing along with some of David's lies to her parents. Jenny then goes back to her school, requesting to repeat her last year and take her exams, but is refused re-admission. She then goes to Miss Stubbs, asking for help. She resumes her studies and is accepted at Oxford the following year. In a closing voiceover, Jenny shares a story about telling a white lie to a new love interest, which implies her longing for a fresh start at Oxford.
"
In Which We Serve,Noël CowardJohn MillsBernard MilesCelia Johnson,"
17 September 1942 (1942-09-17) (UK)
","NAThe film opens with the narration: ""This is the story of a ship"". In 1941, HMS Torrin, engages German transports in a night-time action during the Battle of Crete. But at dawn, the destroyer comes under attack from German bombers. A critical hit forces the crew to abandon ship as it rapidly capsizes. Some of the officers and ratings manage to find a Carley float while being intermittently strafed by passing German planes.
In flashback, the ship's story is told using their memories. The first person to reveal his thoughts is Captain Kinross, who recalls the summer of 1939 when the  Torrin is being rushed into commission as the possibility of war becomes a near certainty.
The ship spends a quiet Christmas in the north of Scotland during the Phoney War. But in 1940, the Torrin fights its first engagement during the Battle of Narvik. During the action, the ship is struck by a torpedo. The damaged Torrin is towed back to port, all the time being harried by dive bombers.
Safely back in harbour, Captain Kinross tells the assembled ship's company that during the battle nearly all the crew performed as he would expect; however, one man didn't. But he surprises everyone when he says that he let him off with a caution as he feels that, as Captain, he failed to make him understand his duty.
Returning to the present, the float survivors watch the capsized Torrin take on water and slowly sink. The raft is again strafed by German planes and some men are killed and wounded. Shorty Blake recalls in flashback how he met his wife-to-be, Freda, on a train while on leave. She is related to the Torrin's affable Chief Petty Officer Hardy. When both men return to sea, Freda moves in with Hardy's wife and mother-in-law.
The Torrin participates in the Dunkirk evacuation of the British Expeditionary Force, (portrayed in the film by the 5th Battalion of the Coldstream Guards). Blake gets a letter to say that Freda has given birth to his son during the Plymouth Blitz but that Hardy's wife and mother-in-law were killed. He has to tell Hardy, who is writing a letter home, the bitter news.
The survivors on the life raft watch the Torrin finally sink. Captain Kinross leads a final ""three cheers"" for the Torrin. A British destroyer soon begins rescuing the men. Captain Kinross talks to the survivors and collects addresses from the dying.
Telegrams are sent to the crew's loved ones. Kinross addresses the ship's survivors in a military depot in Alexandria in Egypt. He tells them that although they lost their ship and many friends, who now ""lie together in fifteen hundred fathoms"", he notes that these losses should inspire them to fight even harder in the battles to come. Captain Kinross then shakes hands with all the ratings as they leave the depot. When the last man goes, the emotionally tired captain silently acknowledges his surviving officers before walking away.
An epilogue concludes: bigger and stronger ships are being launched to avenge the Torrin; Britain is an island nation with a proud, indefatigable people; Captain Kinross is now in command of a battleship. Its massive main guns fire against the enemy.
"
The Bells of St. Mary's,"
Bing Crosby
Ingrid Bergman
","
December 6, 1945 (1945-12-06) (New York City, New York)
","NAThe unconventional Father Charles ""Chuck"" O'Malley (Bing Crosby) is assigned to St. Mary's parish, which includes a run-down inner-city school building on the verge of being condemned. O'Malley is to recommend whether or not the school should be closed and the children sent to another school with modern facilities; but the sisters feel that God will provide for them.
They put their hopes in Horace P. Bogardus (Henry Travers), a businessman who has constructed a modern building next door to the school which they hope he will donate to them. Father O'Malley and the dedicated but stubborn Sister Superior, Mary Benedict (Ingrid Bergman), both wish to save the school, but their different views and methods often lead to disagreements. One such involves student Eddie (Dickie Tyler), who is being bullied by another. A more serious one regards the promotion of an eighth-grade student, Patsy (Joan Carroll) of Syracuse, New York, whom the parish has taken in while her mother attempts to get back on her feet.
At one point, Sister Benedict contracts tuberculosis, and the physician recommends to Father O'Malley that she be transferred to a dry climate with non-parochial duties, but without telling her the reason. She assumes the transfer is because of her disagreements with O'Malley and struggles to understand the reasons for the path set out for her. Just before Sister Benedict departs, Father O'Malley reveals the true reason for her temporary transfer, and she then leaves happily, looking forward to her return.
"
Winter's Bone,"
Jennifer Lawrence
John Hawkes
Kevin Breznahan
Dale Dickey
Garret Dillahunt
Sheryl Lee
Tate Taylor
","
January 21, 2010 (2010-01-21) (Sundance)
June 11, 2010 (2010-06-11) (United States)
","NAIn the rural Ozarks of Missouri, seventeen-year-old Ree Dolly looks after her mentally ill mother, twelve-year-old brother Sonny, and six-year-old sister Ashlee. She makes sure her siblings eat and teaches them survival skills such as hunting and cooking. The family is destitute. Ree's father, Jessup, has not been home for a long time; his whereabouts are unknown. He is out on bail following an arrest for manufacturing meth.
Sheriff Baskin tells Ree that if her father does not appear for his court date, they will lose the house because it was put up as part of his bond. Ree sets out to find her father. She starts with her meth-addicted uncle Teardrop and continues to more distant kin, eventually trying to talk to the local crime boss, Thump Milton. Milton refuses to see her; the only information Ree comes up with are warnings to leave the situation alone and stories that Jessup died in a meth lab fire or skipped town to avoid the trial.
When Jessup fails to appear for the trial, the bondsman comes looking for him and tells Ree that she has about a week before the house and land are seized. Ree tells him that Jessup must be dead, because ""Dollys don't run"". He tells her that she must provide proof that her father is dead to avoid the bond being forfeited.
Ree tries to go see Milton again and is severely beaten by the women of his family. Teardrop rescues Ree, promising her attackers that she will not cause more trouble. Teardrop tells Ree that her father was killed because he was going to inform on other meth cookers, but he does not know who killed him. He warns her that if she finds out who did, she must not tell him. On the way home from a bar, Ree and her uncle are stopped by the sheriff, who wants to question Teardrop. After a tense standoff, Teardrop convinces the sheriff to let them leave without any interrogation. Later, Ree talks to an Army recruiter about enlisting for the $40,000 bonus, but he tells her that she needs her parents' signatures to enlist, and that she has the wrong reasons.
A few nights later, the Milton women who beat Ree come to her house and offer to take her to ""[her] daddy's bones"". The women place a sack on her head and drive her to a pond, where they row to the shallow area where her father's submerged body lies. They tell Ree to reach into the water and grasp her father's hands so they can cut them off with a chainsaw; the severed hands will serve as proof of death for the authorities. Ree takes the hands to the sheriff, telling him that someone flung them onto the porch of her house.
The bondsman gives Ree the cash portion of the bond, which was put up by an anonymous associate of Jessup. Ree tries to give Jessup's banjo to Teardrop, but he tells her to keep it at the house for him. As he is leaving, he tells her that he now knows who killed her father. Ree reassures Sonny and Ashlee that she will never leave them. As the three sit on the porch, Ashlee begins to play the banjo.
"
Tender Mercies,"
Robert Duvall
Tess Harper
Betty Buckley
Wilford Brimley
Ellen Barkin
","
March 4, 1983 (1983-03-04)
(limited)","NAMac Sledge (Robert Duvall), a washed up, alcoholic country singer, awakens at a run-down Texas roadside motel and gas station after a night of heavy drinking. He meets the owner, a young widow named Rosa Lee (Tess Harper), and offers to work in exchange for a room. Rosa Lee, whose husband was killed in the Vietnam War, is raising her young son, Sonny (Allan Hubbard), on her own. She agrees to let Mac stay under the condition that he does not drink while working. The two begin to develop feelings for one another, mostly during quiet evenings sitting alone and sharing bits of their life stories.
Mac resolves to give up alcohol and start his life anew. After some time passes, he and Rosa Lee wed. They start attending a Baptist church on a regular basis. One day, a newspaper reporter visits the motel and asks Mac whether he has stopped recording music and chosen an anonymous life. When Mac refuses to answer, the reporter explains he is writing a story about Mac and has interviewed his ex-wife, Dixie Scott (Betty Buckley), a country music star who is performing nearby.
After the story is printed, the neighborhood learns of Mac's past, and members of a local country–western band visit him to show their respect. Although he greets them politely, Mac remains reluctant to open up about his past. Later, he secretly attends Dixie's concert. She passionately sings several songs that Mac wrote years earlier, and he leaves in the middle of the performance. Backstage, he talks to Dixie's manager, his old friend Harry (Wilford Brimley). Mac gives him a copy of a new song he has written and asks him to show it to Dixie. Mac tries to talk to Dixie, but she becomes angry upon seeing him and warns him to stay away from their 18-year-old daughter, Sue Anne (Ellen Barkin).
Upon his return home, Mac assures Rosa Lee he no longer has feelings for Dixie, whom he describes as ""poison"" to him. Later, Harry visits Mac to tell him, seemingly at Dixie's urging, that the country music business has changed and his new song is no good. Hurt and angry, Mac drives away and nearly crashes the truck.  He buys a bottle of whiskey but, upon returning home to a worried Rosa Lee and Sonny, he tells them he poured it out. He tells them he tried to leave Rosa Lee, but found he could not. Some time later, Mac and Sonny are baptized together in Rosa Lee's church.
Eventually, Sue Anne visits Mac, their first encounter since she was a baby. Mac asks whether she got any of his letters, and she says her mother kept them from her. Sue Anne also reports that Dixie tried to keep her from visiting Mac and that she plans to elope with her boyfriend despite her mother's objections. Mac admits he used to hit Dixie and that she divorced him after he tried to kill her in a drunken rage. Sue Anne asks whether Mac remembers a song about a dove he sang to her when she was a baby. He claims he does not, but after she leaves he sings to himself the hymn ""On the Wings of a Dove,"" which references a dove from the Lord saving Noah and descending at Jesus' baptism.
"
Beasts of the Southern Wild,Quvenzhané WallisDwight Henry,"
January 20, 2012 (2012-01-20) (Sundance)
June 27, 2012 (2012-06-27) (US)
","NAAs a storm approaches a southern Louisiana bayou community called the ""Bathtub"" (a community cut off from the rest of the world by a levee), six-year-old Hushpuppy and her ailing, hot-tempered father Wink are optimistic about their life and their future. The children in school are being taught by Miss Bathsheba about nature and the release of prehistoric aurochs from the melting ice caps. At home, Hushpuppy fends for herself while her father is missing. When he returns, he is wearing a hospital gown and bracelet. They argue, and when Hushpuppy returns to her house, she deliberately sets it on fire. A chase ensues between the two, and she ends up getting slapped by Wink. When she retaliates by punching him in the chest, Wink collapses. Hushpuppy, realizing the damage she has caused, runs for help only to find her father missing when she returns.
Meanwhile, in the Arctic, the frozen aurochs in an ice shelf start drifting into the ocean.
Many of the Bathtub residents flee an approaching storm. Wink reappears, staggering along the side of the road; he finds Hushpuppy and takes her home to start barricading before the storm hits. In an effort to make his daughter feel better, Wink attempts to scare off the storm by firing a shotgun at the clouds. The next day, the two tour the devastation and connect with surviving residents.
The Bathtub residents celebrate the end of the storm and make plans to rebuild their community, but the environment is damaged because the salt water surge from the storm has contaminated the fresh water supply. Wink hatches a plan to drain the water away by destroying the levee. He and a small group of friends plant dynamite and blow a hole in the wall using an alligator gar, and the water recedes. Authorities arrive and enforce a mandatory evacuation order, removing the residents of the Bathtub to an emergency shelter. Wink receives surgery, but it is too late to restore his health. At the first opportunity, the evacuees escape back to their homes.
Aware of her father's condition, Hushpuppy searches for her absent mother. She and her friends swim to a boat, which takes them to a floating bar known as the Elysian Fields. Hushpuppy meets a cook who may be her mother, though the woman doesn't recognize her. The cook says the girl can stay with her if she wants, but Hushpuppy says she needs to go home. Hushpuppy and her friends return home where she confronts the aurochs. As the aurochs leave, Hushpuppy returns home. She says her last goodbyes to the dying Wink, listening to his last heartbeat. She sets his funeral pyre ablaze, standing together with the remaining residents of the Bathtub.
"
Decision Before Dawn,Richard BasehartGary MerrillOskar WernerHildegard Knef,"
December 21, 1951 (1951-12-21)
","NABy late 1944, it is obvious that the Germans will lose the war. American Colonel Devlin (Gary Merrill) leads a military intelligence unit that recruits German prisoners of war to spy on their former comrades. ""Tiger"" (Hans Christian Blech), a cynical, older thief and ex-circus worker, is willing to work for the winning side. On the other hand, ""Happy"" (Oskar Werner) is a young idealist who volunteers to spy after his friend is killed by fanatical fellow prisoners for voicing doubts about the war's outcome. Monique (Dominique Blanchar) trains Happy and the others in espionage techniques; she takes a liking to the young man despite her hatred for Germans.
One day, Devlin receives word that a German general is willing to negotiate the surrender of his entire corps. Naturally, this is given top priority; because of the importance of the mission, an American officer has to go along. Devlin selects Lieutenant Rennick (Richard Basehart), a newcomer who distrusts the German turncoats. Tiger is chosen because he is the only one who knows the area, but he is under suspicion after returning from his last mission without his teammate. Happy is assigned the related task of locating the 11th Panzer Corps, which might oppose the wholesale defection. They parachute out of the same plane into Germany, then split up.
In the course of his search on bus and train rides, in guest houses and taverns, and in military convoys braving Allied air raids, Happy encounters Germans with differing attitudes towards the war, some still defiant, such as Waffen-SS courier Scholtz (Wilfried Seyferth), and some resigned, like the young war widow Hilde (Hildegard Knef). Happy accomplishes his mission by a stroke of luck. Posing as a medic returning to his unit, he is commandeered to treat Oberst von Ecker (O.E. Hasse), the commander of the 11th Panzer, at his castle headquarters. Von Ecker orders the execution of a loyal officer who had deserted to help his bombed-out family.  Happy has an opportunity to inject von Ecker with a lethal overdose of heart medicine before he signs the man's death warrant, but does not do so.
Afterwards, Happy narrowly escapes being captured by the Gestapo. He makes his way to a safe house in the ruins of the heavily bombed Mannheim, where the other two agents are hiding out. Meanwhile, Tiger and Rennick have learned that the general they were to contact was supposedly injured, but the hospital where he has been taken is under SS guard; without him, the other German officers cannot and will not surrender to the Allies.
Their radio is knocked out, so Happy, Tiger, and Rennick are forced to try to swim across the heavily defended Rhine River to get to the American lines with the vital information. At the last moment, Tiger loses his nerve and runs away, forcing Rennick to shoot him. He and Happy then swim to an island in the middle of the river. When they start for the other shore, they are spotted by the German defenders. Happy creates a diversion, is captured and executed as a deserter, but his sacrifice enables the lieutenant to make it to safety, with a changed attitude about some Germans.
"
